ObjectID,GlobalID,Surface temperature,Surface type,Shade,Tree density,CreationDate,x,y
257,268fe749-6266-4f17-8a4a-7e8bff1ed37d,29,Turf grass,No shade,0,7/27/2026 15:30,-71.11901182,42.40721214
88,f47e8515-d6fa-4183-92c2-3cd20c34ae2c,28.7,Turf grass,Partial shade,0,7/27/2026 15:17,-71.120572,42.40651244
226,ead1009c-d35b-4c44-9d85-f17382b8d9ad,28.5,Bare earth,Partial shade,1,7/27/2026 15:28,-71.11956331,42.40729031
115,fbb85982-ef47-480f-ba3a-a2f3c9223d91,28.1,Impervious (light-colored),Partial shade,2,7/27/2026 15:20,-71.121045,42.405219
55,6cc7e98b-6851-48c1-9eb0-3a2aa0d40061,27.9,Turf grass,Partial shade,2,7/27/2026 15:15,-71.12049997,42.40650458
118,a0bdd3ca-a828-41e1-92d4-b8e234e7f5f8,27.8,Impervious (dark-colored),Partial shade,0,7/27/2026 15:20,-71.11924814,42.40697649
85,55fd369b-f2cf-45ea-a577-c960ead4aace,27.5,Impervious (dark-colored),Partial shade,0,7/27/2026 15:17,-71.12074789,42.40531331
239,e1acdbfb-7c03-4f38-aafd-0ccef7a3d4eb,26.5,Impervious (dark-colored),Partial shade,1,7/27/2026 15:28,-71.1188262,42.40853448
56,00337dc1-f41f-49ee-b401-b9d51df65324,26.3,Turf grass,Partial shade,1,7/27/2026 15:15,-71.11893014,42.40689621
328,ba78c4fd-f22f-4605-b8b9-b2aaa807409d,26.2,Impervious (light-colored),Partial shade,0,7/27/2026 15:40,-71.12082563,42.40531794
291,60b70d88-7a83-4bf3-bc57-e97d57730810,25.7,Impervious (dark-colored),Complete shade,3,7/27/2026 15:33,-71.11997919,42.40607351
104,1cfa8a08-717e-438f-a18b-b111a8194108,25.5,Turf grass,Complete shade,3,7/27/2026 15:19,-71.1201244,42.40723058
307,33a94d1e-932e-44d6-8bc3-bcfa4ba8d367,25.5,Impervious (dark-colored),Partial shade,1,7/27/2026 15:34,-71.11894324,42.40715291
277,e766184f-6170-4b18-824c-bfd980fbb699,25.4,Turf grass,Partial shade,1,7/27/2026 15:32,-71.12054355,42.40645792
42,ed229985-6eb8-42d7-8dfe-dd947e04946d,24.9,Impervious (dark-colored),Complete shade,2,7/27/2026 15:14,-71.12039745,42.40639202
228,6285bc42-5915-4bda-9613-21afcfcaf4f4,24.9,Bare earth,No shade,0,7/27/2026 15:28,-71.11916757,42.407604
89,95b96d9f-658f-4223-941c-bb1df90a31a5,24.8,Turf grass,Partial shade,2,7/27/2026 15:18,-71.12001825,42.40687264
